"screen_name","mentions_screen_name"
"Mojluf","tonyevans88"
"Mojluf","cortes_john"
"Mojluf","FabianPicardo"
"GBossino","tonyevans88"
"GBossino","cortes_john"
"GBossino","FabianPicardo"
"dpbryan","MLoParis"
"ishagshafeeg","shafeegu"
"ishagshafeeg","imranibrahim10"
"ishagshafeeg","ishagshafeeg"
"jasafor","normalnerd56"
"jasafor","dwhitec"
"jasafor","ChuckCallesto"
"shafeegu","imranibrahim10"
"shafeegu","ishagshafeeg"
"EEDGrowthPoint","GrowthHubHOTSW"
"EEDEnterpriseZ","GrowthHubHOTSW"
"GrowthHubHOTSW","GrowthHubHOTSW"
"AnneDimon","EupepsiaResort"
"bill_dobell","MLoParis"
"Pulitika2010","HotelSogo"
"Pulitika2010","BusinessMirror"
"RebeccaWarnefo2","MLoParis"
"rockgooner","tonyevans88"
"rockgooner","cortes_john"
"rockgooner","FabianPicardo"
"VisitKentBiz","southeastlep"
"VisitKentBiz","ThreeSixteeUK"
"tonyevans88","cortes_john"
"tonyevans88","FabianPicardo"
"tonyevans88","Gomila78"
"econgregation","MLoParis"
"BillStynna","Y1079FM"
"newscenterPHL1","onenewsph"
"southeastlep","ThreeSixteeUK"
"southeastlep","VisitKentBiz"
"southeastlep","VisitEssex"
"htTweets","htlifeandstyle"
"htlifeandstyle","htTweets"
"FasherMichael","MLoParis"
"Jane9873","MLoParis"
"h_appleby","MLoParis"
"Y1079FM","MsBridgetMensah"
"djadvicer10","Y1079FM"
"EuniceTornyi","MsBridgetMensah"
"EuniceTornyi","Y1079FM"
"DJGANJ","Y1079FM"
"DJGANJ","MsBridgetMensah"
"curtis_kwabena","Y1079FM"
"curtis_kwabena","MsBridgetMensah"
"naadei_armah","Y1079FM"
"naadei_armah","MsBridgetMensah"
"Be_Ekay","Y1079FM"
"torridgedc","GrowthHubHOTSW"
"exeterchamber","tweetinexeter"
"GametrackersKe","GonaJudy"
"GametrackersKe","ecotourismkenya"
"RealRavi__","ficci_india"
"bjpgmdosspondy","ficci_india"
"bjpgmdosspondy","ficci_india"
"ficci_india","TourismDptt"
"ExCCBusiness","tweetinexeter"
"EswatiniIn","ficci_india"
"northdevonplus","GrowthHubHOTSW"
